work_wikidata_id,work_name,work_type,release_or_first_broadcast_date,location_wikidata_id,location_name,latitude,longitude,address,episode_timecode_start,episode_timecode_end,imdb_id,tmdb_movie_id,tmdb_tv_id,wikidata_work_url,wikidata_location_url,data_source
Q6820409,圣诞快乐，憨豆先生,Christmas episode,1992-12-29,Q2321706,泰晤士河畔金斯頓,51.4103,-0.2995,,,,tt0365495,931452,,https://www.wikidata.org/wiki/Q6820409,https://www.wikidata.org/wiki/Q2321706,Wikidata P915/P625/P6375/P577
Q3079187,太空博物館,Doctor Who serial,1965-04-24,Q72081,伊灵制作公司,51.509166666,-0.3075,,,,,,,https://www.wikidata.org/wiki/Q3079187,https://www.wikidata.org/wiki/Q72081,Wikidata P915/P625/P6375/P577
Q6424778,Kochadaiyaan,animated film,2014-05-22,Q84,伦敦,51.507222222,-0.1275,,,,tt2339505,256968,,https://www.wikidata.org/wiki/Q6424778,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q6424778,Kochadaiyaan,animated film,2014-05-22,Q661896,松木制片厂,51.548611111,-0.535,,,,tt2339505,256968,,https://www.wikidata.org/wiki/Q6424778,https://www.wikidata.org/wiki/Q661896,Wikidata P915/P625/P6375/P577
Q318428,酷狗宝贝之魔兔诅咒,animated film,2005-09-04,Q21,英格兰,53.0,-1.0,,,,tt0312004,533,,https://www.wikidata.org/wiki/Q318428,https://www.wikidata.org/wiki/Q21,Wikidata P915/P625/P6375/P577
Q1131791,黄色潜水艇,animated film,1968-01-01,Q84,伦敦,51.507222222,-0.1275,,,,tt0063823,12105,,https://www.wikidata.org/wiki/Q1131791,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q752301,鼠國流浪記,animated film,2006-10-22,Q84,伦敦,51.507222222,-0.1275,,,,tt0424095,11619,,https://www.wikidata.org/wiki/Q752301,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q30931,007之择日而亡,film,2002-01-01,Q107356897,Penbryn Beach,52.1441,-4.4964,,,,tt0246460,36669,,https://www.wikidata.org/wiki/Q30931,https://www.wikidata.org/wiki/Q107356897,Wikidata P915/P625/P6375/P577
Q30931,007之择日而亡,film,2002-01-01,Q661896,松木制片厂,51.548611111,-0.535,,,,tt0246460,36669,,https://www.wikidata.org/wiki/Q30931,https://www.wikidata.org/wiki/Q661896,Wikidata P915/P625/P6375/P577
Q30931,007之择日而亡,film,2002-01-01,Q4545538,艾伯特·布洛克里的007舞台,51.55,-0.535,,,,tt0246460,36669,,https://www.wikidata.org/wiki/Q30931,https://www.wikidata.org/wiki/Q4545538,Wikidata P915/P625/P6375/P577
Q19089,007之黄金眼,film,1995-01-01,Q84,伦敦,51.507222222,-0.1275,,,,tt0113189,710,,https://www.wikidata.org/wiki/Q19089,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q19089,007之黄金眼,film,1995-01-01,Q21,英格兰,53.0,-1.0,,,,tt0113189,710,,https://www.wikidata.org/wiki/Q19089,https://www.wikidata.org/wiki/Q21,Wikidata P915/P625/P6375/P577
Q151904,007大战皇家赌场,film,2006-11-14,Q84,伦敦,51.507222222,-0.1275,,,,tt0381061,36557,,https://www.wikidata.org/wiki/Q151904,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q151904,007大战皇家赌场,film,2006-11-14,Q661896,松木制片厂,51.548611111,-0.535,,,,tt0381061,36557,,https://www.wikidata.org/wiki/Q151904,https://www.wikidata.org/wiki/Q661896,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q7754924,The Old Vic Tunnels,51.5022,-0.1096,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q7754924,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q84,伦敦,51.507222222,-0.1275,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q84,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q3649486,卡多根广场,51.4953,-0.160556,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q3649486,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q180788,国家美术馆,51.508888888,-0.128333333,"Trafalgar Square, London WC2N 5DN",,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q180788,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q1753590,旧皇家海军学院,51.483666666,-0.005944444,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q1753590,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q661896,松木制片厂,51.548611111,-0.535,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q661896,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q795322,查令十字站,51.508055555,-0.124722222,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q795322,Wikidata P915/P625/P6375/P577
Q4941,007大破天幕杀机,film,2012-10-23,Q956688,格伦科,56.6828,-5.10598,,,,tt1074638,37724,,https://www.wikidata.org/wiki/Q4941,https://www.wikidata.org/wiki/Q956688,Wikidata P915/P625/P6375/P577
