work_name_en,release_or_first_broadcast_date,location_text_from_category,source_category,work_wikidata_id,imdb_id,wikipedia_url,episode_timecode_start,episode_timecode_end,data_source,license
& Sons,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/%26_Sons,,,English Wikipedia category membership,CC BY-SA 4.0
& Sons,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/%26_Sons,,,English Wikipedia category membership,CC BY-SA 4.0
'71 (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
'71 (film),,Lancashire,Category:Films shot in Lancashire,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
'71 (film),,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
'Allo 'Allo!,,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/%27Allo_%27Allo%21,,,English Wikipedia category membership,CC BY-SA 4.0
...And Mother Makes Five,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/...And_Mother_Makes_Five,,,English Wikipedia category membership,CC BY-SA 4.0
...And Mother Makes Three,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/...And_Mother_Makes_Three,,,English Wikipedia category membership,CC BY-SA 4.0
007: Road to a Million,,London,Category:Television shows shot in London,,,https://en.wikipedia.org/wiki/007%3A_Road_to_a_Million,,,English Wikipedia category membership,CC BY-SA 4.0
007: Road to a Million,,Scotland,Category:Television shows shot in Scotland,,,https://en.wikipedia.org/wiki/007%3A_Road_to_a_Million,,,English Wikipedia category membership,CC BY-SA 4.0
10 Rillington Place,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/10_Rillington_Place,,,English Wikipedia category membership,CC BY-SA 4.0
101 Dalmatians (1996 film),1996,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/101_Dalmatians_%281996_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
101 Dalmatians (1996 film),1996,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/101_Dalmatians_%281996_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
102 Dalmatians,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/102_Dalmatians,,,English Wikipedia category membership,CC BY-SA 4.0
10Dance,,Lancashire,Category:Films shot in Lancashire,,,https://en.wikipedia.org/wiki/10Dance,,,English Wikipedia category membership,CC BY-SA 4.0
10x10 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/10x10_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
11 Harrowhouse,,Buckinghamshire,Category:Films shot in Buckinghamshire,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0
11 Harrowhouse,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0
11 Harrowhouse,,Warwickshire,Category:Films shot in Warwickshire,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0
12.10,,Walthamstow Studios,Category:Films shot at Walthamstow Studios,,,https://en.wikipedia.org/wiki/12.10,,,English Wikipedia category membership,CC BY-SA 4.0
