work_name_en,release_or_first_broadcast_date,location_text_from_category,source_category,work_wikidata_id,imdb_id,wikipedia_url,episode_timecode_start,episode_timecode_end,data_source,license,latitude,longitude,coordinate_source,coordinate_precision
& Sons,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/%26_Sons,,,English Wikipedia category membership,CC BY-SA 4.0,53,-1,Wikidata P625,category place centroid
& Sons,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/%26_Sons,,,English Wikipedia category membership,CC BY-SA 4.0,51.8084711936,-1.28715586244,Wikidata P625,category place centroid
'71 (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53,-1,Wikidata P625,category place centroid
'71 (film),,Lancashire,Category:Films shot in Lancashire,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53.7778251344,-2.65990398961,Wikidata P625,category place centroid
'71 (film),,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/%2771_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53.407222222222224,-2.9916666666666667,Wikidata P625,category place centroid
'Allo 'Allo!,,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/%27Allo_%27Allo%21,,,English Wikipedia category membership,CC BY-SA 4.0,51.65972222,-0.27472222,Wikidata P625,category place centroid
...And Mother Makes Five,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/...And_Mother_Makes_Five,,,English Wikipedia category membership,CC BY-SA 4.0,51.4287,-0.3217,Wikidata P625,category place centroid
...And Mother Makes Three,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/...And_Mother_Makes_Three,,,English Wikipedia category membership,CC BY-SA 4.0,51.4287,-0.3217,Wikidata P625,category place centroid
007: Road to a Million,,London,Category:Television shows shot in London,,,https://en.wikipedia.org/wiki/007%3A_Road_to_a_Million,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
007: Road to a Million,,Scotland,Category:Television shows shot in Scotland,,,https://en.wikipedia.org/wiki/007%3A_Road_to_a_Million,,,English Wikipedia category membership,CC BY-SA 4.0,57,-5,Wikidata P625,category place centroid
10 Rillington Place,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/10_Rillington_Place,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
101 Dalmatians (1996 film),1996,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/101_Dalmatians_%281996_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
101 Dalmatians (1996 film),1996,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/101_Dalmatians_%281996_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
102 Dalmatians,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/102_Dalmatians,,,English Wikipedia category membership,CC BY-SA 4.0,51.8084711936,-1.28715586244,Wikidata P625,category place centroid
10Dance,,Lancashire,Category:Films shot in Lancashire,,,https://en.wikipedia.org/wiki/10Dance,,,English Wikipedia category membership,CC BY-SA 4.0,53.7778251344,-2.65990398961,Wikidata P625,category place centroid
10x10 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/10x10_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
11 Harrowhouse,,Buckinghamshire,Category:Films shot in Buckinghamshire,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0,51.8280222469,-0.790425894719,Wikidata P625,category place centroid
11 Harrowhouse,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
11 Harrowhouse,,Warwickshire,Category:Films shot in Warwickshire,,,https://en.wikipedia.org/wiki/11_Harrowhouse,,,English Wikipedia category membership,CC BY-SA 4.0,52.3335005665,-1.58600847016,Wikidata P625,category place centroid
12.10,,Walthamstow Studios,Category:Films shot at Walthamstow Studios,,,https://en.wikipedia.org/wiki/12.10,,,English Wikipedia category membership,CC BY-SA 4.0,51.584,-0.021,Wikidata P625,category place centroid
13 East Street,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/13_East_Street,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
13 East Street,,Twickenham Film Studios,Category:Films shot at Twickenham Film Studios,,,https://en.wikipedia.org/wiki/13_East_Street,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
1408 (film),,Elstree Film Studios,Category:Films shot at Elstree Film Studios,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.6587,-0.2758,Wikidata P625,category place centroid
1408 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
1408 (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.548611111111,-0.535,Wikidata P625,category place centroid
1492: Conquest of Paradise,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/1492%3A_Conquest_of_Paradise,,,English Wikipedia category membership,CC BY-SA 4.0,53,-1,Wikidata P625,category place centroid
16 Years of Alcohol,,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/16_Years_of_Alcohol,,,English Wikipedia category membership,CC BY-SA 4.0,55.95333333333333,-3.1891666666666665,Wikidata P625,category place centroid
18 Minutes,,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/18_Minutes,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
1899 (TV series),,London,Category:Television shows shot in London,,,https://en.wikipedia.org/wiki/1899_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
1899 (TV series),,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/1899_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
19 Kids and Counting,,England,Category:Television shows shot in England,,,https://en.wikipedia.org/wiki/19_Kids_and_Counting,,,English Wikipedia category membership,CC BY-SA 4.0,53,-1,Wikidata P625,category place centroid
1917 (2019 film),2019,Bovingdon Studios,Category:Films shot at Bovingdon Studios,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
1917 (2019 film),2019,Glasgow,Category:Films shot in Glasgow,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,55.861111111111114,-4.25,Wikidata P625,category place centroid
1917 (2019 film),2019,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,57,-5,Wikidata P625,category place centroid
1917 (2019 film),2019,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
1917 (2019 film),2019,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.2694589239,-0.373297931467,Wikidata P625,category place centroid
1917 (2019 film),2019,Wiltshire,Category:Films shot in Wiltshire,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,51.3146111812,-1.92980645382,Wikidata P625,category place centroid
1920 (film),,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/1920_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53.958333333333,-1.0833333333333,Wikidata P625,category place centroid
1921 (2018 film),2018,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/1921_%282018_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53.5025,-2.31,Wikidata P625,category place centroid
1984 (1956 film),1956,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/1984_%281956_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
1: Nenokkadine,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/1%3A_Nenokkadine,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
"20,000 Leagues Under the Sea (1916 film)",1916,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/20%2C000_Leagues_Under_the_Sea_%281916_film%29,,,English Wikipedia category membership,CC BY-SA 4.0,53,-1,Wikidata P625,category place centroid
200 Motels,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/200_Motels,,,English Wikipedia category membership,CC BY-SA 4.0,51.548611111111,-0.535,Wikidata P625,category place centroid
2001: A Space Odyssey,,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0,51.829446229,-0.218293182997,Wikidata P625,category place centroid
2001: A Space Odyssey,,MGM-British Studios,Category:Films shot at MGM-British Studios,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
2001: A Space Odyssey,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
2001: A Space Odyssey,,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0,51.2694589239,-0.373297931467,Wikidata P625,category place centroid
2001: A Space Odyssey,,the Outer Hebrides,Category:Films shot in the Outer Hebrides,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0,57.76,-7.02,Wikidata P625,category place centroid
24 Hour Party People,,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/24_Hour_Party_People,,,English Wikipedia category membership,CC BY-SA 4.0,53.5025,-2.31,Wikidata P625,category place centroid
24 Hours of a Woman's Life,,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/24_Hours_of_a_Woman%27s_Life,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
"27, Memory Lane",,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/27%2C_Memory_Lane,,,English Wikipedia category membership,CC BY-SA 4.0,53.5025,-2.31,Wikidata P625,category place centroid
28 Days Later,,Cumbria,Category:Films shot in Cumbria,,,https://en.wikipedia.org/wiki/28_Days_Later,,,English Wikipedia category membership,CC BY-SA 4.0,54.5,-3.25,Wikidata P625,category place centroid
28 Days Later,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/28_Days_Later,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
28 Weeks Later,,Cardiff,Category:Films shot in Cardiff,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0,51.48166666666667,-3.1791666666666667,Wikidata P625,category place centroid
28 Weeks Later,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0,51.507222222222,-0.1275,Wikidata P625,category place centroid
28 Weeks Later,,Wales,Category:Films shot in Wales,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0,52.35,-3.6333333333333,Wikidata P625,category place centroid
28 Years Later,,Northumberland,Category:Films shot in Northumberland,,,https://en.wikipedia.org/wiki/28_Years_Later,,,English Wikipedia category membership,CC BY-SA 4.0,55.2307695605,-2.05060229526,Wikidata P625,category place centroid
28 Years Later: The Bone Temple,,Cumbria,Category:Films shot in Cumbria,,,https://en.wikipedia.org/wiki/28_Years_Later%3A_The_Bone_Temple,,,English Wikipedia category membership,CC BY-SA 4.0,54.5,-3.25,Wikidata P625,category place centroid
28 Years Later: The Bone Temple,,North Yorkshire,Category:Films shot in North Yorkshire,,,https://en.wikipedia.org/wiki/28_Years_Later%3A_The_Bone_Temple,,,English Wikipedia category membership,CC BY-SA 4.0,54.1,-1.35,Wikidata P625,category place centroid
3 Body Problem (TV series),,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/3_Body_Problem_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0,,,,unmatched
3 Body Problem (TV series),,the United Kingdom,Category:Television shows shot in the United Kingdom,,,https://en.wikipedia.org/wiki/3_Body_Problem_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0,54.6,-2,Wikidata P625,category place centroid
3 into 2 Won't Go,,Hampshire,Category:Films shot in Hampshire,,,https://en.wikipedia.org/wiki/3_into_2_Won%27t_Go,,,English Wikipedia category membership,CC BY-SA 4.0,51.0200783075,-1.29308672495,Wikidata P625,category place centroid
