work_wikidata_id,work_name,work_type,release_or_first_broadcast_date,imdb_id,tmdb_movie_id,tmdb_tv_id,wikidata_work_url
Q3205382,The Scarecrow of Romney Marsh,television series,1964-01-01,tt0055929,,289922,https://www.wikidata.org/wiki/Q3205382
Q4795614,圍繞披頭四,television program,1964-05-06,tt0179651,146294,,https://www.wikidata.org/wiki/Q4795614
Q3079187,太空博物館,Doctor Who serial,1965-04-24,,,,https://www.wikidata.org/wiki/Q3079187
Q7379541,Run a Crooked Mile,television film,1969-01-01,tt0064910,325666,,https://www.wikidata.org/wiki/Q7379541
Q5468251,Foreign Exchange,television film,1970-01-01,tt0064340,252709,,https://www.wikidata.org/wiki/Q5468251
Q1611248,简·爱,television film,1970-01-01,tt0065911,131313,,https://www.wikidata.org/wiki/Q1611248
Q7711079,That's Your Funeral,television series,1970-03-25,tt0065350,,762,https://www.wikidata.org/wiki/Q7711079
Q7521850,Frank Sinatra: In Concert at the Royal Festival Hall,television special,1970-11-22,tt1087448,271278,,https://www.wikidata.org/wiki/Q7521850
Q4841332,Baffled!,television film,1972-12-17,tt0068248,171308,,https://www.wikidata.org/wiki/Q4841332
Q23894094,Serendipity,television series,1973-09-30,,,,https://www.wikidata.org/wiki/Q23894094
Q4967016,Brief Encounter,television film,1974-01-01,tt0071247,115497,,https://www.wikidata.org/wiki/Q4967016
Q3523112,The Turn of the Screw,television film,1974-01-01,tt0072328,126689,,https://www.wikidata.org/wiki/Q3523112
Q613952,废墟中的爱情,television film,1975-03-06,tt0073310,115507,,https://www.wikidata.org/wiki/Q613952
Q113502443,Brian Clarke: The Story So Far (1979),television series episode,1979-03-15,tt3974260,,,https://www.wikidata.org/wiki/Q113502443
Q378748,鐘樓怪人,television film,1982-01-01,tt0084100,80385,,https://www.wikidata.org/wiki/Q378748
Q1754224,新劫後英雄傳,television film,1982-02-23,tt0084157,39382,,https://www.wikidata.org/wiki/Q1754224
Q2539256,心靈的冒險,television film,1987-01-01,tt0093159,48406,,https://www.wikidata.org/wiki/Q2539256
Q4004124,A Man for All Seasons,television film,1988-01-01,tt0095578,118091,,https://www.wikidata.org/wiki/Q4004124
Q932874,殺人狂傑克,miniseries,1988-01-01,tt0095388,,47510,https://www.wikidata.org/wiki/Q932874
Q2371601,The Lady and the Highwayman,television film,1989-01-01,tt0097707,59171,,https://www.wikidata.org/wiki/Q2371601
Q1660599,環遊世界80天,miniseries,1989-01-01,tt0096535,,20580,https://www.wikidata.org/wiki/Q1660599
Q3430569,Prisoner of Honor,television film,1991-01-01,tt0102715,233156,,https://www.wikidata.org/wiki/Q3430569
Q3795151,地板下的小矮人,television film,1992-01-01,tt0105957,,40306,https://www.wikidata.org/wiki/Q3795151
Q4750251,An Ungentlemanly Act,television film,1992-06-13,tt0134178,45562,,https://www.wikidata.org/wiki/Q4750251
Q6820409,圣诞快乐，憨豆先生,Christmas episode,1992-12-29,tt0365495,931452,,https://www.wikidata.org/wiki/Q6820409
Q7720493,郊區佛陀,miniseries,1993-01-01,tt0105963,,8894,https://www.wikidata.org/wiki/Q7720493
Q17426152,An Impossible Job,television film,1994-01-01,tt3823528,,,https://www.wikidata.org/wiki/Q17426152
Q1198889,Good King Wenceslas,television film,1994-01-01,tt0109919,332325,,https://www.wikidata.org/wiki/Q1198889
Q1168407,古堡守護靈,television film,1996-01-01,tt0115820,48358,,https://www.wikidata.org/wiki/Q1168407
Q7811121,吾爱吾师2,television film,1996-01-01,tt0117927,86040,,https://www.wikidata.org/wiki/Q7811121
Q12112900,海上求生記,television film,1996-01-01,tt0116056,213842,,https://www.wikidata.org/wiki/Q12112900
Q2565731,艾瑪,television film,1996-01-01,tt0118308,12254,,https://www.wikidata.org/wiki/Q2565731
Q473899,魔鬼潛艦,television film,1997-01-01,tt0119320,2131,,https://www.wikidata.org/wiki/Q473899
Q7736051,The General,television series,1998-04-06,,,,https://www.wikidata.org/wiki/Q7736051
Q3776130,Great Expectations,television film,1999-01-01,tt0167187,16075,286423,https://www.wikidata.org/wiki/Q3776130
Q16156204,燧石街居民,television film,1999-01-01,tt0228306,151961,,https://www.wikidata.org/wiki/Q16156204
Q1421958,Jason and the Argonauts,miniseries,2000-01-01,tt0217579,,25406,https://www.wikidata.org/wiki/Q1421958
Q7620117,Storm Damage,television film,2000-01-23,tt0174245,392945,,https://www.wikidata.org/wiki/Q7620117
Q39649619,When Louis Met... Jimmy,television film,2000-04-13,tt0304938,,,https://www.wikidata.org/wiki/Q39649619
Q3307591,Murder in Mesopotamia,television film,2001-01-01,tt0278634,1529613,,https://www.wikidata.org/wiki/Q3307591
Q400205,心靈病房,television film,2001-01-01,tt0243664,26976,,https://www.wikidata.org/wiki/Q400205
Q1167445,阳光下的罪恶,television film,2001-04-20,tt0276115,,,https://www.wikidata.org/wiki/Q1167445
Q586199,杰克与仙豆,miniseries,2001-12-02,tt0264262,,16433,https://www.wikidata.org/wiki/Q586199
Q5216963,Daniel Deronda,miniseries,2002-01-01,tt0321897,,34539,https://www.wikidata.org/wiki/Q5216963
Q14954099,Second Generation,television film,2003-01-01,tt0380693,,29749,https://www.wikidata.org/wiki/Q14954099
Q1973919,南方和北方,miniseries,2004-01-01,tt0417349,,13643,https://www.wikidata.org/wiki/Q1973919
Q1197868,After the Funeral,television film,2005-01-01,tt0479977,,,https://www.wikidata.org/wiki/Q1197868
Q7637440,Summer Solstice,television film,2005-01-01,tt0785054,281709,42121,https://www.wikidata.org/wiki/Q7637440
Q1218101,D'Artagnan and the Three Musketeers,television film,2005-01-22,tt0425945,119900,91010,https://www.wikidata.org/wiki/Q1218101
Q2052558,罗斯,television series episode,2005-03-26,tt0562992,,,https://www.wikidata.org/wiki/Q2052558
Q2477742,借屍還魂,television series episode,2005-04-09,tt0563001,,,https://www.wikidata.org/wiki/Q2477742
Q16826704,Banglatown Banquet,television film,2006-01-01,tt0776762,436529,,https://www.wikidata.org/wiki/Q16826704
Q1197563,Taken at the Flood,television episode,2006-01-01,tt0478227,1633382,,https://www.wikidata.org/wiki/Q1197563
Q7763757,The Shell Seekers,miniseries,2006-01-01,tt0758720,8680,,https://www.wikidata.org/wiki/Q7763757
Q1428718,聯航93,television film,2006-01-30,tt0481522,10958,,https://www.wikidata.org/wiki/Q1428718
Q27728970,Under the Greenwood Tree,television film,2006-04-23,tt0465653,18091,,https://www.wikidata.org/wiki/Q27728970
Q6739035,Make Me a Tory,television film,2007-01-01,tt0993771,,,https://www.wikidata.org/wiki/Q6739035
Q7309897,Reichenbach Falls,television film,2007-01-01,tt0862641,54802,,https://www.wikidata.org/wiki/Q7309897
Q7602575,Starting Over,television film,2007-01-01,tt1152390,197878,,https://www.wikidata.org/wiki/Q7602575
Q5054216,Catwalk Dogs,television film,2007-10-21,tt1062242,285699,,https://www.wikidata.org/wiki/Q5054216
Q1436102,Mrs McGinty’s Dead,television episode,2008-01-01,tt0772597,,,https://www.wikidata.org/wiki/Q1436102
Q2421373,Third Girl,television episode,2008-01-01,tt0981210,,,https://www.wikidata.org/wiki/Q2421373
Q1068911,花豹少女隊：勇闖好萊塢,television film,2008-08-22,tt1013542,27621,,https://www.wikidata.org/wiki/Q1068911
Q7005280,New Allegiances,television series episode,2008-10-27,tt1203862,,,https://www.wikidata.org/wiki/Q7005280
Q7711878,第三十九級台階,television film,2008-12-28,tt1282016,16877,,https://www.wikidata.org/wiki/Q7711878
Q17507216,當哈維遇見鮑勃,television film,2010-01-01,tt1692945,76187,,https://www.wikidata.org/wiki/Q17507216
Q3830195,裸體列儂,television film,2010-01-01,tt1560164,42484,,https://www.wikidata.org/wiki/Q3830195
Q27748904,The Channel Islands at War,miniseries,2010-06-28,tt1943508,,196187,https://www.wikidata.org/wiki/Q27748904
Q4027892,+100500,television series,2011-01-01,tt4958826,,,https://www.wikidata.org/wiki/Q4027892
Q7756057,天堂一刻,television series,2012-01-01,tt2391224,,59674,https://www.wikidata.org/wiki/Q7756057
Q17426162,开放日,television film,2012-01-01,tt2371315,153021,,https://www.wikidata.org/wiki/Q17426162
Q5522376,骨頭花園,television series episode,2012-04-22,tt2069319,,,https://www.wikidata.org/wiki/Q5522376
Q4707487,Alan Partridge: Welcome to the Places of My Life,television program,2012-06-25,tt2227372,455644,,https://www.wikidata.org/wiki/Q4707487
Q6396897,Kevin McCloud's Man Made Home,television series,2012-09-23,tt2429484,,65788,https://www.wikidata.org/wiki/Q6396897
Q1573859,天使攻佔曼哈頓,television series episode,2012-09-29,tt2378951,,,https://www.wikidata.org/wiki/Q1573859
Q247643,基本演绎法,television series,2013-01-10,tt2191671,,1415,https://www.wikidata.org/wiki/Q247643
