work_wikidata_id,work_name,work_type,release_or_first_broadcast_date,imdb_id,tmdb_movie_id,tmdb_tv_id,wikidata_work_url
Q913078,Traffic Crossing Leeds Bridge,short film,1888-01-01,tt0343112,16464,,https://www.wikidata.org/wiki/Q913078
Q267176,郎德海花园场景,silent short film,1888-10-14,tt0392728,16463,,https://www.wikidata.org/wiki/Q267176
Q20501379,Hyde Park Corner,short film,1889-01-01,tt2116898,355764,,https://www.wikidata.org/wiki/Q20501379
Q1989298,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",short film,1889-01-01,tt0466876,32406 | 355764,,https://www.wikidata.org/wiki/Q1989298
Q18465764,"Traffic in King's Road, Chelsea",short film,1890-01-01,tt2116968,355846,,https://www.wikidata.org/wiki/Q18465764
Q2913387,伦敦特拉法加广场,short film,1890-01-01,tt1202028,33316,,https://www.wikidata.org/wiki/Q2913387
Q130455548,Hyde Park Bicycling Scene,short film,1896-01-01,tt1318026,181376,,https://www.wikidata.org/wiki/Q130455548
Q124713861,Negro Street Dancers,short film,1896-03-10,tt0928159,190564,,https://www.wikidata.org/wiki/Q124713861
Q16988802,Diving Lucy,film,1903-01-01,tt1056050,196060,,https://www.wikidata.org/wiki/Q16988802
Q3986838,The Eternal City,film,1915-01-01,tt0005250,655787,,https://www.wikidata.org/wiki/Q3986838
Q969250,戰火浩劫,film,1918-03-12,tt0009150,174924,,https://www.wikidata.org/wiki/Q969250
Q2003242,夏洛克·福尔摩斯,film,1922-01-01,tt0013597,53800,,https://www.wikidata.org/wiki/Q2003242
Q7977678,We Moderns,film,1925-01-01,tt0016507,456384,,https://www.wikidata.org/wiki/Q7977678
Q1058426,父兒情深,film,1927-01-01,tt0018429,183587,,https://www.wikidata.org/wiki/Q1058426
Q7738807,The Happy Ending,film,1931-01-01,tt0150827,473693,,https://www.wikidata.org/wiki/Q7738807
Q2156798,Jew Suss,film,1934-01-01,tt0025329,172214,,https://www.wikidata.org/wiki/Q2156798
Q17017833,Play Up the Band,film,1935-01-01,tt0168127,232417,,https://www.wikidata.org/wiki/Q17017833
Q501105,三十九级台阶,film,1935-01-01,tt0026029,260,,https://www.wikidata.org/wiki/Q501105
Q7679685,Talk of the Devil,film,1936-01-01,tt0029637,578806,,https://www.wikidata.org/wiki/Q7679685
Q7997600,Whom the Gods Love,film,1936-01-01,tt0029772,238759,,https://www.wikidata.org/wiki/Q7997600
Q5152094,Command Performance,film,1937-01-01,tt0028733,23424,,https://www.wikidata.org/wiki/Q5152094
Q16952906,Cross My Heart,film,1937-01-01,tt0159381,,,https://www.wikidata.org/wiki/Q16952906
Q5521276,Gangway,film,1937-01-01,tt0028918,291758,,https://www.wikidata.org/wiki/Q5521276
Q113642168,Haifa Celebrates the Coronation of King George VI,short film,1937-01-01,,,,https://www.wikidata.org/wiki/Q113642168
Q5880305,Holiday's End,film,1937-01-01,tt0144237,,,https://www.wikidata.org/wiki/Q5880305
Q6182136,Jericho,film,1937-01-01,tt0029064,113749,,https://www.wikidata.org/wiki/Q6182136
Q113642165,Jerusalem Celebrates the Coronation of King George VI,short film,1937-01-01,,,,https://www.wikidata.org/wiki/Q113642165
Q6483026,Lancashire Luck,film,1937-01-01,tt0029107,1474196,,https://www.wikidata.org/wiki/Q6483026
Q6670579,London Melody,film,1937-01-01,tt0029160,253928,,https://www.wikidata.org/wiki/Q6670579
Q6842728,Midnight Menace,film,1937-01-01,tt0029240,246883,,https://www.wikidata.org/wiki/Q6842728
Q113642166,Netanya Celebrates the Coronation of King George VI,short film,1937-01-01,,,,https://www.wikidata.org/wiki/Q113642166
Q7110631,Our Fighting Navy,film,1937-01-01,tt0029357,292738,,https://www.wikidata.org/wiki/Q7110631
Q12127543,Smash and Grab,film,1937-01-01,tt0033813,370127,,https://www.wikidata.org/wiki/Q12127543
Q7578589,Splinters in the Air,film,1937-01-01,tt0169263,1225965,,https://www.wikidata.org/wiki/Q7578589
Q7641378,Sunset in Vienna,film,1937-01-01,tt0029619,,,https://www.wikidata.org/wiki/Q7641378
Q113642163,Tel Aviv Celebrates the Coronation of King George VI,short film,1937-01-01,,,,https://www.wikidata.org/wiki/Q113642163
Q7721771,The Cavalier of the Streets,film,1937-01-01,tt0165134,,,https://www.wikidata.org/wiki/Q7721771
Q2605272,The Edge of the World,film,1937-01-01,tt0028818,44407,,https://www.wikidata.org/wiki/Q2605272
Q7735334,The Frog,film,1937-01-01,tt0027646,1009473,,https://www.wikidata.org/wiki/Q7735334
Q7745639,The Last Curtain,film,1937-01-01,tt0029117,546599,,https://www.wikidata.org/wiki/Q7745639
Q498983,年少無知,film,1937-01-01,tt0029811,2762,,https://www.wikidata.org/wiki/Q498983
Q20814810,The Fatal Hour,film,1937-05-01,tt0134651,,,https://www.wikidata.org/wiki/Q20814810
Q25136827,Night Ride,film,1937-06-01,tt0159597,322107,,https://www.wikidata.org/wiki/Q25136827
Q20022642,Mr. Smith Carries On,film,1937-09-01,tt0029268,,,https://www.wikidata.org/wiki/Q20022642
Q24886838,"Missing, Believed Married",film,1937-09-24,tt0029254,547737,,https://www.wikidata.org/wiki/Q24886838
Q4659765,A Spot of Bother,film,1938-01-01,tt0170615,333328,,https://www.wikidata.org/wiki/Q4659765
Q970195,Break the News,film,1938-01-01,tt0029944,281599,,https://www.wikidata.org/wiki/Q970195
Q5133664,Climbing High,film,1938-01-01,tt0031161,283404,,https://www.wikidata.org/wiki/Q5133664
Q16952460,Crackerjack,film,1938-01-01,tt0030021,258279,,https://www.wikidata.org/wiki/Q16952460
Q16992265,Follow Your Star,film,1938-01-01,tt0028885,,,https://www.wikidata.org/wiki/Q16992265
Q6014584,Incident in Shanghai,film,1938-01-01,tt0159492,425133,,https://www.wikidata.org/wiki/Q6014584
Q6383084,Keep Smiling,film,1938-01-01,tt0031939,284662,,https://www.wikidata.org/wiki/Q6383084
Q6404367,Kicking the Moon Around,film,1938-01-01,tt0030319,259339,,https://www.wikidata.org/wiki/Q6404367
Q12125730,Lightning Conductor,film,1938-01-01,tt0030367,,,https://www.wikidata.org/wiki/Q12125730
Q7400196,Sailing Along,film,1938-01-01,tt0030708,210718,,https://www.wikidata.org/wiki/Q7400196
Q7621343,Strange Boarders,film,1938-01-01,tt0030803,341028,,https://www.wikidata.org/wiki/Q7621343
Q7764664,The Sky's the Limit,film,1938-01-01,tt0030762,1282039,,https://www.wikidata.org/wiki/Q7764664
Q7786134,This Man Is News,film,1938-01-01,tt0032025,259526,,https://www.wikidata.org/wiki/Q7786134
Q1196539,卖花女,film,1938-01-01,tt0030637,25016,,https://www.wikidata.org/wiki/Q1196539
Q7549542,So This Is London,film,1939-01-01,tt0033068,342711,,https://www.wikidata.org/wiki/Q7549542
