location_text,latitude,longitude,matched_name,wikidata_id,geonames_id,coordinate_source,coordinate_precision
ATV Elstree Studios,,,,,,,unmatched
Argyll and Bute,55.98333333,-5.45,Argyll and Bute,Q202174,,Wikidata P625,category place centroid
Associated British Studios,,,,,,,unmatched
BBC Elstree Centre,51.65972222,-0.27472222,BBC Elstree Centre,Q15261685,,Wikidata P625,category place centroid
Beaconsfield Studios,,,,,,,unmatched
Bedfordshire,52.0795804699,-0.448204047696,Bedfordshire,Q67387552,,Wikidata P625,category place centroid
Belfast,54.596666666666664,-5.93,Belfast,Q10686,,Wikidata P625,category place centroid
Berkshire,51.5138315912,-1.20881068417,Berkshire,Q67284726,,Wikidata P625,category place centroid
Bovingdon Studios,,,,,,,unmatched
Bradford,53.792,-1.754,Bradford,Q2834810,,Wikidata P625,category place centroid
Bray Studios,51.492881,-0.676111,Bray Studios,Q2924156,,Wikidata P625,category place centroid
Bridlington,54.088,-0.2004,Bridlington,Q527391,,Wikidata P625,category place centroid
Bristol,51.45361111111111,-2.5975,Bristol,Q23154,,Wikidata P625,category place centroid
British International Pictures Studios,,,,,,,unmatched
British National Studios,,,,,,,unmatched
Buckinghamshire,51.8280222469,-0.790425894719,Buckinghamshire,Q67285329,,Wikidata P625,category place centroid
Cambridgeshire,52.3392492724,0.132202197275,Cambridgeshire,Q30612390,,Wikidata P625,category place centroid
Cardiff,51.48166666666667,-3.1791666666666667,Cardiff,Q10690,,Wikidata P625,category place centroid
Catford Studios,51.428666666666665,-0.012466666666666668,Catford Studios,Q5051995,,Wikidata P625,category place centroid
Cheshire,53.2329744449,-2.50739109533,Cheshire,Q67287495,,Wikidata P625,category place centroid
Cornwall,50.416669444444,-4.75,Cornwall,Q22338583,,Wikidata P625,category place centroid
County Durham,54.76055556,-1.46555556,County Durham,Q1137286,,Wikidata P625,category place centroid
Cricklewood Studios,51.559834,-0.221812,Cricklewood Studios,Q5185077,,Wikidata P625,category place centroid
Cumbria,54.5,-3.25,Cumbria,Q23066,,Wikidata P625,category place centroid
Denbighshire,53.125,-3.406,Denbighshire,Q5256625,,Wikidata P625,category place centroid
